,text,true_labels,pred_labels
22,"  We focus on the problem of adding fault-tolerance to an existing concurrent
protocol in the presence of {\em unchangeable environment actions}. Such
unchangeable actions occur in practice due to several reasons. One instance
includes the case where only a subset of the components/processes can be
revised and other components/processes must be as is. Another instance includes
cyber-physical systems where revising physical components may be undesirable or
impossible. These actions differ from faults in that they are simultaneously
{\em assistive} and {\em disruptive}, whereas faults are only disruptive. For
example, if these actions are a part of a physical component, their execution
is essential for the normal operation of the system. However, they can
potentially disrupt actions taken by other components for dealing with faults.
Also, one can typically assume that fault actions will stop for a long enough
time for the program to make progress. Such an assumption is impossible in this
context.
  We present algorithms for adding stabilizing fault-tolerance, failsafe
fault-tolerance and masking fault-tolerance. Interestingly, we observe that the
previous approaches for adding stabilizing fault-tolerance and masking
fault-tolerance cannot be easily extended in this context. However, we find
that the overall complexity of adding these levels of fault-tolerance remains
in P (in the state space of the program). We also demonstrate that our
algorithms are sound and complete.
",5,1
23,"  Research in the field of blockchain technology and applications is increasing
at a fast pace. Although the Bitcoin whitepaper by Nakamoto is already ten
years old, the field can still be seen as immature and at an early stage.
Current research in this area is lacking a commonly shared knowledge and
consensus about terms used to describe the technology and its properties. At
the same time this research is challenging fundamental aspects of the Bitcoin
core concept. It has to be questioned whether all of these new approaches still
adequately could be described as blockchain technology. We propose to use the
term Decentralized Consensus Technology as a general category instead.
Decentralized Consensus Technology consists of decentralized ledger and
non-ledger technologies. Blockchain technology in turn is only one of multiple
implementations of the Decentralized Ledger Technology. Furthermore, we
identified three main characteristics of Decentralized Consensus Technology:
decentralization, trustlessness and ability to eventually reach consensus.
Depending on the use case of the specific implementation the following
additional properties have to be considered: privacy, participation incentive,
irreversibility and immutability, operation purpose, confirmation time,
transaction costs, ability to externalize transactions and computations and
scalability possibilities.
",5,1
24,"  Given a directed graph $G$ with arbitrary real-valued weights, the single
source shortest-path problem (SSSP) asks for, given a source $s$ in $G$,
finding a shortest path from $s$ to each vertex $v$ in $G$. A classical SSSP
algorithm detects a negative cycle of $G$ or constructs a shortest-path tree
(SPT) rooted at $s$ in $O(mn)$ time, where $m,n$ are the numbers of edges and
vertices in $G$ respectively. In many practical applications, new constraints
come from time to time and we need to update the SPT frequently. Given an SPT
$T$ of $G$, suppose the weight on a certain edge is modified. We show by
rigorous proof that the well-known {\sf Ball-String} algorithm for positively
weighted graphs can be adapted to solve the dynamic SPT problem for directed
graphs with arbitrary weights. Let $n_0$ be the number of vertices that are
affected (i.e., vertices that have different distances from $s$ or different
parents in the input and output SPTs) and $m_0$ the number of edges incident to
an affected vertex. The adapted algorithms terminate in $O(m_0+n_0 \log n_0)$
time, either detecting a negative cycle (only in the decremental case) or
constructing a new SPT $T'$ for the updated graph. We show by an example that
the output SPT $T'$ may have more than necessary edge changes to $T$. To remedy
this, we give a general method for transforming $T'$ into an SPT with minimal
edge changes in time $O(n_0)$ provided that $G$ has no cycles with zero length.
",5,1
25,"  Dead Reckoning mechanisms are usually used to estimate the position of
simulated entity in virtual environment. However, this technique often ignores
available contextual information that may be influential to the state of an
entity, sacrificing remote predictive accuracy in favor of low computational
complexity. A novel extension of Dead Reckoning is suggested in this paper to
increase the network availability and fulfill the required Quality of Service
in large scale distributed simulation application. The proposed algorithm is
referred to as ANFIS Dead Reckoning, which stands for Adaptive Neuro-based
Fuzzy Inference System Dead Reckoning is based on a fuzzy inference system
which is trained by the learning algorithm derived from the neuronal networks
and fuzzy inference theory. The proposed mechanism takes its based on the
optimization approach to calculate the error threshold violation in networking
games. Our model shows it primary benefits especially in the decision making of
the behavior of simulated entities and preserving the consistence of the
simulation.
",4,6
26,"  We revisit variable renaming from a practitioner's point of view, presenting
concepts we found useful in dealing with operational semantics of pure Prolog.
A concept of relaxed core representation is introduced, upon which a concept of
prenaming is built. Prenaming formalizes the intuitive practice of renaming
terms by just considering the necessary bindings, where now some passive
""bindings"" x/x may be necessary as well. As an application, a constructive
version of variant lemma for implemented Horn clause logic has been obtained.
There, prenamings made it possible to incrementally handle new (local)
variables.
",1,5
27,"  This paper concerns the analysis of information leaks in security systems. We
address the problem of specifying and analyzing large systems in the (standard)
channel model used in quantitative information flow (QIF). We propose several
operators which match typical interactions between system components. We
explore their algebraic properties with respect to the security-preserving
refinement relation defined by Alvim et al. and McIver et al.
  We show how the algebra can be used to simplify large system specifications
in order to facilitate the computation of information leakage bounds. We
demonstrate our results on the specification and analysis of the Crowds
Protocol. Finally, we use the algebra to justify a new algorithm to compute
leakage bounds for this protocol.
",3,2
28,"  Mobile devices are often presented with multiple connectivity options usually
making a selection either randomly or based on load/wireless conditions
metrics, as is the case of current offloading schemes. In this paper we claim
that link-layer connectivity can be associated with information-availability
and in this respect connectivity decisions should be information-aware. This
constitutes a next step for the Information-Centric Networking paradigm,
realizing the concept of Information-Centric Connectivity (ICCON). We elaborate
on different types of information availability and connectivity decisions in
the context of ICCON, present specific use cases and discuss emerging
opportunities, challenges and technical approaches. We illustrate the potential
benefits of ICCON through preliminary simulation and numerical results in an
example use case.
",2,3
29,"  Generally, combinatorial design concerns with the arrangement of a finite set
of elements into patterns (subsets, words, arrays) according to specified
rules. The usefulness of this design method is that the number of input
combination can be reduced dramatically but all of them are covered by the
combinatorial set. This paper presents the application of this design method in
communication networks. Communication engineers can use this novel method to
generate test cases for producing a cost-effective set of experiments to
recognize the factors that have the least and most impact on the system's
performance. A well-known scenario is used for the purpose of the experiment
and five factors with different values are chosen to qualify their effect on
the network performance. The experimental set is generated using combinatorial
design method and then it is been used to analyze the effect of each factor.
The experiments showed the effectiveness of the method to be used for analyzing
the effect of factors on the communication network.
",3,0
30,"  The correctness of networks is often described in terms of the individual
data flow of components instead of their global behavior. In software-defined
networks, it is far more convenient to specify the correct behavior of packets
than the global behavior of the entire network. Petri nets with transits extend
Petri nets and Flow-LTL extends LTL such that the data flows of tokens can be
tracked. We present the tool AdamMC as the first model checker for Petri nets
with transits against Flow-LTL. We describe how AdamMC can automatically encode
concurrent updates of software-defined networks as Petri nets with transits and
how common network specifications can be expressed in Flow-LTL. Underlying
AdamMC is a reduction to a circuit model checking problem. We introduce a new
reduction method that results in tremendous performance improvements compared
to a previous prototype. Thereby, AdamMC can handle software-defined networks
with up to 82 switches.
",1,0
31,"  MIL-STD-1553 is a military standard that defines the physical and logical
layers, and a command/response time division multiplexing of a communication
bus used in military and aerospace avionic platforms for more than 40 years. As
a legacy platform, MIL-STD-1553 was designed for high level of fault tolerance
while less attention was taken with regard to security. Recent studies already
addressed the impact of successful cyber attacks on aerospace vehicles that are
implementing MIL-STD-1553. In this study we present a security analysis of
MIL-STD-1553. In addition, we present a method for anomaly detection in
MIL-STD-1553 communication bus and its performance in the presence of several
attack scenarios implemented in a testbed, as well as results on real system
data. Moreover, we propose a general approach towards an intrusion detection
system (IDS) for a MIL-STD-1553 communication bus.
",0,4
32,"  The Ukraine power grid cyberattacks remind us that the smart Internet of
Things (IoT) can help us control our light-bulbs, but if under attacks it might
also take us into darkness. Nowadays, many literatures have tried to address
the concerns on IoT security, but few of them take into consideration the sever
threats to IoT coming from the advances of quantum computing. As a promising
candidate for the future post-quantum cryptography standard, lattice-based
cryptography enjoys the advantages of strong security guarantees and high
efficiency, which make it extremely suitable for IoT applications. In this
paper, we summarize the advantages of lattice-based cryptography and the state
of art of their implementations for IoT devices.
",2,6
33,"  Cloud computing is a recent paradigm based around the notion of delivery of
resources via a service model over the Internet. Despite being a new paradigm
of computation, cloud computing owes its origins to a number of previous
paradigms. The term cloud computing is well defined and no longer merits
rigorous taxonomies to furnish a definition. Instead this survey paper
considers the past, present and future of cloud computing. As an evolution of
previous paradigms, we consider the predecessors to cloud computing and what
significance they still hold to cloud services. Additionally we examine the
technologies which comprise cloud computing and how the challenges and future
developments of these technologies will influence the field. Finally we examine
the challenges that limit the growth, application and development of cloud
computing and suggest directions required to overcome these challenges in order
to further the success of cloud computing.
",4,3
34,"  This paper revisits the classical notion of sampling in the setting of
real-time temporal logics for the modeling and analysis of systems. The
relationship between the satisfiability of Metric Temporal Logic (MTL) formulas
over continuous-time models and over discrete-time models is studied. It is
shown to what extent discrete-time sequences obtained by sampling
continuous-time signals capture the semantics of MTL formulas over the two time
domains. The main results apply to ""flat"" formulas that do not nest temporal
operators and can be applied to the problem of reducing the verification
problem for MTL over continuous-time models to the same problem over
discrete-time, resulting in an automated partial practically-efficient
discretization technique.
",3,5
35,"  FreeBSD was one of the first widely deployed free operating systems to
provide mandatory access control. It supports a number of classic MAC models.
This tutorial paper addresses exploiting this implementation to enforce typical
enterprise security policies of varying complexities.
",1,3
36,"  We give the quantum subset construction of orthomodular lattice-valued finite
automata, then we show the equivalence between orthomodular lattice-valued
finite automata, orthomodular lattice-valued deterministic finite automata and
orthomodular lattice-valued finite automata with empty string-moves. Based on
these equivalences, we study the algebraic operations on orthomodular
lattice-valued regular languages, then we establish Kleene theorem in the frame
of quantum logic.
",1,2
37,"  Vehicular communications play a substantial role in providing safety
transportation by means of safety message exchange. Researchers have proposed
several solutions for securing safety messages. Protocols based on a fixed key
infrastructure are more efficient in implementation and maintain stronger
security in comparison with dynamic structures. The purpose of this paper
present a method based on a fixed key infrastructure for detection
impersonation attack, in other words, Sybil attack, in the vehicular ad hoc
network. This attack, puts a great impact on performance of the network. The
proposed method, using an cryptography mechanism to detection Sybil attack.
Finally, using Mat lab simulator the results of this approach are reviewed,
This method it has low delay for detection Sybil attack, because most
operations are done in Certification Authority, so this proposed schema is a
efficient method for detection Sybil attack.
",2,1
38,"  Efficient mobility management techniques are critical in providing seamless
connectivity and session continuity between a mobile node and the network
during its movement. Current mobility management solutions generally require a
central entity in the network core, tracking IP address movement and anchoring
traffic from source to destination through point-to-point tunnels. Intuitively,
this approach suffers from scalability limitations as it creates bottlenecks in
the network, due to sub-optimal routing via the anchor point. Meanwhile,
alternative anchorless, solutions are not feasible due to the current
limitations of the IP semantics, which strongly ties addressing information to
location. In contrast, novel path-based forwarding solutions may be exploited
for feasible anchorless solutions. In this paper, we propose a novel
network-based mobility management solution that facilitates IP mobility over
such a path-based forwarding substrate. Our solution exploits the advantages of
such substrates in decoupling path calculation from data transfer to eliminate
the need for anchoring traffic through the network core; thereby, allowing
flexible path calculation and service provisioning. Furthermore, by eliminating
the limitation of routing via the anchor point, our approach reduces the
network cost compared to anchored solution through bandwidth saving while
maintaining comparable handover delay. We evaluate our solution through
analytical and simulation models and compare it with the IETF standardized
solution, Proxy Mobile IPv6 (PMIPv6). Evaluation results illustrate a
significant saving in the total network cost when using our proposed solution,
compared to its counterpart.
",4,1
39,"  Typically, spoken language understanding (SLU) models are trained on
annotated data which are costly to gather. Aiming to reduce data needs for
bootstrapping a SLU system for a new language, we present a simple but
effective weight transfer approach using data from another language. The
approach is evaluated with our promising multi-task SLU framework developed
towards different languages. We evaluate our approach on the ATIS and a
real-world SLU dataset, showing that i) our monolingual models outperform the
state-of-the-art, ii) we can reduce data amounts needed for bootstrapping a SLU
system for a new language greatly, and iii) while multitask training improves
over separate training, different weight transfer settings may work best for
different SLU modules.
",2,5
40,"  Recently the topic of how to effectively offload cellular traffic onto
device-to-device (D2D) sharing among users in proximity has been gaining more
and more attention of global researchers and engineers. Users utilize wireless
short-range D2D communications for sharing contents locally, due to not only
the rapid sharing experience and free cost, but also high accuracy on
deliveries of interesting and popular contents, as well as strong social
impacts among friends. Nevertheless, the existing related studies are mostly
confined to small-scale datasets, limited dimensions of user features, or
unrealistic assumptions and hypotheses on user behaviors. In this article,
driven by emerging Big Data techniques, we propose to design a big data
platform, named D2D Big Data, in order to encourage the wireless D2D
communications among users effectively, to promote contents for providers
accurately, and to carry out offloading intelligence for operators efficiently.
We deploy a big data platform and further utilize a large-scale dataset (3.56
TBytes) from a popular D2D sharing application (APP), which contains 866
million D2D sharing activities on 4.5 million files disseminated via nearly 850
million users in 13 weeks. By abstracting and analyzing multidimensional
features, including online behaviors, content properties, location relations,
structural characteristics, meeting dynamics, social arborescence, privacy
preservation policies and so on, we verify and evaluate the D2D Big Data
platform regarding predictive content propagating coverage. Finally, we discuss
challenges and opportunities regarding D2D Big Data and propose to unveil a
promising upcoming future of wireless D2D communications.
",4,6
41,"  In this paper we present SABRINA (Sentiment Analysis: a Broad Resource for
Italian Natural language Applications) a manually annotated prior polarity
lexical resource for Italian natural language applications in the field of
opinion mining and sentiment induction. The resource consists in two different
sets, an Italian dictionary of more than 277.000 words tagged with their prior
polarity value, and a set of polarity modifiers, containing more than 200
words, which can be used in combination with non neutral terms of the
dictionary in order to induce the sentiment of Italian compound terms. To the
best of our knowledge this is the first prior polarity manually annotated
resource which has been developed for the Italian natural language.
",1,5
42,"  In the online matching on the line problem, the task is to match a set of
requests $R$ online to a given set of servers $S$. The distance metric between
any two points in $R\,\cup\, S$ is a line metric and the objective for the
online algorithm is to minimize the sum of distances between matched
server-request pairs. This problem is well-studied and - despite recent
improvements - there is still a large gap between the best known lower and
upper bounds: The best known deterministic algorithm for the problem is
$O(\log^2n)$-competitive, while the best known deterministic lower bound is
$9.001$. The lower and upper bounds for randomized algorithms are $4.5$ and
$O(\log n)$ respectively.
  We prove that any deterministic online algorithm which in each round: $(i)$
bases the matching decision only on information local to the current request,
and $(ii)$ is symmetric (in the sense that the decision corresponding to the
mirror image of some instance $I$ is the mirror image of the decision
corresponding to instance $I$), must be $\Omega(\log n)$-competitive. We then
extend the result by showing that it also holds when relaxing the symmetry
property so that the algorithm might prefer one side over the other, but only
up to some degree. This proves a barrier of $\Omega(\log n)$ on the competitive
ratio for a large class of ""natural"" algorithms. This class includes all
deterministic online algorithms found in the literature so far.
  Furthermore, we show that our result can be extended to randomized algorithms
that locally induce a symmetric distribution over the chosen servers. The
$\Omega(\log n)$-barrier on the competitive ratio holds for this class of
algorithms as well.
",3,4
